"supplier_id","supplier_code","supplier_name","contact_name","profile","supplier_address","supplier_credit_period","active_vat","add_tax","supplier_vat_reg_number","supplier_email","supplier_telephone","supplier_mobile","supplier_website","supplier_image","supplier_image1","supplier_rating_id","city_id","sub_city","latitude","longitude","deleted","created_by","created_date","update_by","update_date"
"48","SUP00048","Camelot Beach Hotel",NULL,NULL,"Negombo
","0","1","1",,,"  +94 31 2222 318, +94 31 2235 881-3",,"http://www.camelot.lk/",NULL,NULL,"3","113","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"49","SUP00049","Casa Colombo",NULL,NULL,"Colombo
","0","1","1",,," +94 11 4520 130",,"http://www.casacolombo.com/",NULL,NULL,"8","29","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"50","SUP00045","Taprospa Footprints",NULL,NULL,"No.91/22, Maradana Rd, Moragalla, Beruwela, 12070, Sri Lanka","0","1","1",,," +94 34 2278 400 -2",,"http://www.taprospa.com/Footprints.aspx",NULL,NULL,"3","23","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"51","SUP00050","Casa Heliconia",NULL,NULL,"Kandy
","0","0","1",,,"  +94 81 7201 115",,"http://www.casa-heliconia.com/",NULL,NULL,"9","66","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"52","SUP00051","Weligama Bay Beach Resort",,,,"0","1","1",,,"  +94 41 2253 920",,"http://www.weligamabayresort.com/en/",,,"2","151","0","0","0","0",NULL,NULL,NULL,"2025-03-28"
"53","SUP00053","Vivanta by Taj",,,,"0","1","1",,," +94 34 5555 555 ",,"http://www.vivantabytaj.com/Bentota-Sri-Lanka",,,"1","21","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"54","SUP00054","Villa 700 by Jetwing ",,,,"0","1","1",,," +94 91 2223744",,"http://www.jetwinghotels.com/villa700/",,,"8","55","0","0","0","0",NULL,NULL,NULL,"2025-11-18"
"55","SUP00055","Unawatuna Beach Resort",NULL,NULL,,"0","1","1",,,"  +94 91 4384 545-8",,"http://www.unawatunabeachresort.com/",NULL,NULL,"3","143","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"56","SUP00056","Ulagalla Resort",,,,"0","1","1",,,,,"http://www.ugaescapes.com/ulagalla/",,,"8","10","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"57","SUP00057","Uga Bay Resort",NULL,NULL,,"0","1","1",,," +94 65 5671 000",,"http://www.ugaescapes.com/ugabay/",NULL,NULL,"8","118","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"58","SUP00058","Tourmaline Hotel",NULL,NULL,,"0","1","1",,,,,"  +94 81 7389 000-6",NULL,NULL,"2","66","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"59","SUP00059","Tissawewa Resthouse",NULL,NULL,,"0","0","1",,," +94 25 2222 299, 25 2223 505",,"http://goo.gl/MQu3kO",NULL,NULL,"3","10","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"61","SUP00061","Centauria Tourist Hotel",NULL,NULL,"Embilipitiya

","0","0","1",,," +94 47 2230 514, 47 2261 523",,"http://www.centauriahotel.com/centaurihotel/",NULL,NULL,"3","40","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"62","SUP00062","Chaaya Blu",,,,"0","1","1",,,"   +94 26 2222 307/ +94 26 2221 611",,"http://www.chaayahotels.com/ChaayaBlu.htm","chaaya-blu-trincomalee.jpg","chaaya-blu-trincomalee.jpg","1","158","0","0","0","0",NULL,NULL,NULL,"2026-02-11"
"64","SUP00064","Chaaya Tranz ",NULL,NULL,"Hikkaduwa
","0","1","1",,," +94 912 277188, +94 912 277 190",,"http://www.chaayahotels.com/chaayatranz.htm",NULL,NULL,"2","52","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"65","SUP00065","Habarana Village by Cinnamon",,,"Habarana
","0","1","1",,," +94 66 227 0047 ",,"http://www.chaayahotels.com/ChaayaVillage.htm",,,"2","45","0","0","0","0",NULL,NULL,NULL,"2020-03-12"
"66","SUP00066","Cinnamon Bey ",NULL,NULL,"Beruwela
","0","1","1",,," +94 34 2297 000",,"http://www.cinnamonhotels.com/CinnamonBeyBeru",NULL,NULL,"1","23","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"67","SUP00067","Cinnamon Citadel",NULL,NULL,"Kandy
","0","1","1",,,"  +94 81 2234 365 – 6 ",,"http://www.cinnamonhotels.com/CinnamonCitadel",NULL,NULL,"2","66","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"68","SUP00068","Cinnamon Grand",NULL,NULL,"Colombo
","0","1","1",,," +94 11 2437 437",,"http://www.cinnamonhotels.com/CinnamonGrandCo",NULL,NULL,"1","29","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"69","SUP00069","Max Wadiya",NULL,NULL,"Ambalangoda
","0","0","1",,,,"  +94 91 2257 926","http://www.maxwadiya.com",NULL,NULL,"10","6","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"70","SUP00070","Maya ",NULL,NULL,"Tangalle
","0","0","1",,,"  +94 47 5679 025 / 6 ",,"http://www.mayatangallesrilanka.com/",NULL,NULL,"8","139","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"71","SUP00071","Melheim Resort",,,"Haputale
","0","1","1",,," +94 57 5675 969","+94 75 7913 460","http://www.melheimresort.com/",,,"9","49","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"72","SUP00072","Mermaid Hotel & Club",NULL,NULL,"Kalutara
","0","1","1",,," +94 34 2237613","+94 34 2238663","http://www.mermaidhotelnclub.com/",NULL,NULL,"2","63","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"73","SUP00073","Mirissa Hills",NULL,NULL,"Mirissa
","0","0","1",,,"  94 41 2250 980",,"http://www.mirissahills.com",NULL,NULL,"3","103","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"74","SUP00074","Mosvold Villa",,,"Galle","0","1","1",,,,,,,,"8","2","0","0","0","0",NULL,NULL,NULL,"2023-10-11"
"75","SUP00075","Mt. Lavinia Hotel		  		",NULL,NULL,"Mount Lavinia","0","1","1",,,"+94 11 2711 711",,"http://www.mountlaviniahotel.com/",NULL,NULL,"1","106","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"76","SUP00076","Nilaveli beach hotel",NULL,NULL,"Trincomalee","0","1","1",,,,,"http://www.tangerinehotels.com",NULL,NULL,"3","158","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"77","SUP00077","Nisala Arana	Bentota	 	",NULL,NULL,"Bentota	 ","0","0","1",,,"+94 34 4287 079	",,"http://www.nisalaarana.com/",NULL,NULL,"8","21","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"78","SUP00078","Nuwarawewa Resthouse		",NULL,NULL,"Anuradhapura","0","0","1",,," +94 25 2222 565","25 2223 265","http://goo.gl/z1RrLs",NULL,NULL,"3","116","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"79","SUP00079","Sigiriya Village",NULL,NULL,"Sigiriya
","0","1","1",,," +94 66 2286 803-6",,"http://www.sigiriyavillage.com/",NULL,NULL,"2","134","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"80","SUP00080","Serene Garden Hotel",,,"Kandy	
  
","0","1","1","101118029",," +94 81 2227 915-7","81 7392 392	","http://www.serenegardenhotel.com/	",,,"3","66","0","0","0","0",NULL,NULL,NULL,NULL
"82","SUP00082","Saman Villas",,,"Bentota	 
","0","1","1",,,"+94 34 4936 200	","+94 34 2275 435","http://www.samanvilla.com/	",,,"8","21","0","0","0","0",NULL,NULL,NULL,NULL
"83","SUP00083","Saffron & Blue by Jetwing",NULL,NULL,"Kosgoda	 ","0","1","1",,,"+94 91 2223744	",,"	http://www.jetwinghotels.com/saffronandblue/",NULL,NULL,"8","81","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"84","SUP00084","Riverina Hotel",NULL,NULL,"Beruwela	 	
","0","0","1",,,"+94 34 2276 044-5",,"http://www.lolcleisure.com/riverina/	",NULL,NULL,"2","23","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"85","SUP00085","Ratnaloka Tour Inns",NULL,NULL,"Ratnapura	  	

","0","0","1",,,"+94 45 2222 455","2224 565","http://www.rathnaloka.com/	",NULL,NULL,"3","130","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"86","SUP00086","Ranweli Holiday Village",,,"Waikkal	  	
","0","1","1",,,"+94 31 2277 359	",,"http://www.ranweli.com/",,,"3","146","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"87","SUP00081","Ranna 212",NULL,NULL,"Tangalle	 
","0","0","1",,,"+94 47 4934 999	",,"http://www.ranna212.com/	",NULL,NULL,"3","139","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"88","SUP00088","Randholee Resorts",,,"Kandy	 
","0","0",NULL,,,"+94 81 2217 741-3	",,"http://www.randholeeresorts.com/	",,,"9","66","0","0","0","0",NULL,NULL,NULL,"2025-07-15"
"89","SUP00087","Cinnamon Lakeside",NULL,NULL,"Cinnamon Lakeside
","0","1","1",,," +94 11 2491 000",,"http://www.cinnamonhotels.com/CinnamonLakesid",NULL,NULL,"1","29","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"90","SUP00089","Ramada Katunayake",NULL,NULL,"Katunayake	 	
","0","1","1",,," +94 11 2253 646"," 2253 647	","http://www.ramadakatunayake.com/",NULL,NULL,"3","69","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"91","SUP00091","Ramada Colombo	",NULL,NULL,"Colombo	 
","0","1","1",,,"+94 11 2422001-9 	",,"http://www.ramadacolombo.com/	",NULL,NULL,"1","29","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"93","SUP00092","Priyankara Hotel	",NULL,NULL,"Tissamaharama	 ","0","1","1",,,"+94 47 2237 206","47 4378 378","http://www.priyankarahotel.com/	",NULL,NULL,"3","141","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"94","SUP00094","Pillaiyar Inn",NULL,NULL,"Jaffna	   	
","0","0","1",,,"+94 21 222 2829",,"http://www.pillaiyarinn.com/	",NULL,NULL,"3","58","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"95","SUP00095","Pigeon Island Beach Resort	",NULL,NULL,"Trincomalee	 	
","0","1","1",,," + 94 26 7388 388","26 4920 633","http://www.pigeonislandresort.com/	",NULL,NULL,"2","158","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"97","SUP00096","Pelwehera Village Resort",NULL,NULL,"Bulagala junction,habarana rodad damulla 21120
","0","1","1",,,"+94 66 2284 281	","+94 66 5677 766	","http://www.pelweheraresort.com/",NULL,NULL,"3","30","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"98","SUP00097","Citrus Hikkaduwa",NULL,NULL,"Hikkaduwa
","0","1","1",,," +94 91 4383 244-7",,"http://www.citrusleisure.com/hikkaduwa/",NULL,NULL,"3","52","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"99","SUP00098","Pegasus Reef Hotel",NULL,NULL,"Colombo	 ","0","1","1",,,"+94 11 2930 205-9 	",,"http://www.pegasusreefhotel.com/	",NULL,NULL,"3","29","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"100","SUP00099","Clingendael",,,"Kandy
","0","1","1",,,"  +94 77 2515 457",,"http://www.theclingendael.com/",,,"8","66","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"101","SUP00100","Peacock Beach Hotel	",NULL,NULL,"Hambantota	 	
","0","1","1",,,"+94 47 5671 000"," 47 2220 159","http://www.peacockbeachonline.com",NULL,NULL,"3","47","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"102","SUP00101","Closenberg Hotel",NULL,NULL,"Galle
","0","1","1",,," +94 91 2224 313, 91 2232 241",,"http://www.closenburghotel.com/",NULL,NULL,"3","41","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"103","SUP00102","Park Street Hotel",NULL,NULL,"Colombo	
","0","1","1",,," +94 11 2439 978	",,"http://www.asialeisure.lk/Parkstreet/	",NULL,NULL,"9","29","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"104","SUP00103","Clove Villa",,,"Kandy","0","1","1",,,"  +94 81 2212 999",,"http://www.clovevilla.com/",,,"9","66","0","0","0","0",NULL,NULL,NULL,"2024-10-19"
"105","SUP00104","Paradise Road The Villa Bentota",,,"Bentota		
","0","1","1",,," +94 34 2275 311 "," +94 34 4946 800 ","http://www.paradiseroadhotels.com/villabentot",,,"8","21","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"106","SUP00106","Paradise Beach",NULL,NULL,"Negombo	 	
","0","1","1",,,"+94 31 2224 258 	","+ 94 31 2224 308","http://www.paradisebeachsrilanka.com/",NULL,NULL,"3","113","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"107","SUP00107","Palm Paradise Cabanas",NULL,NULL,"Tangalle		
","0","1","1",,," +94 47 2240 338 ","2240 842	","http://www.palmparadisecabanas.net/",NULL,NULL,"3","139","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"108","SUP00108","Palm Garden Village Hotel	",NULL,NULL,"Anuradhapura	  	
","0","1","1",,,"+94 25 2223 961/62 ",,"http://www.palmgardenvillage.com/	",NULL,NULL,"3","10","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"109","SUP00109","Palm Beach Hotel",NULL,NULL,"Mount Lavinia	  
","0","1","1",,,"+94 11 2712 713	",,"http://www.palmbeach.lk/	",NULL,NULL,"3","106","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"110","SUP00110","Oasis Hotel	",NULL,NULL,"Hambantota	 ","0","1","1",,,"+94 47 2220 650-1	",,"http://www.oasis-ayurveda.com/	",NULL,NULL,"3","47","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"111","SUP00111","Club Bentota",NULL,NULL,"Bentota
","0","1","1",,," +94 34 2275 167,+94 34 2275 168,",,"http://www.clubbentota.com/",NULL,NULL,"2","21","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"112","SUP00112","Club Hotel Dolphin",,,"Waikkal
","0","1","1",,," +94 31 4877 100",,"http://www.serendibleisure.com/club-hotel-dol",,,"2","146","0","0","0","0",NULL,NULL,NULL,"2024-10-21"
"114","SUP00114","Reef Villa & Spa	",NULL,NULL,"Wadduwa	  ","0","1","1",,,"+94 38 228 4442		",,"http://www.reefvilla.com/",NULL,NULL,"8","161","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"115","SUP00115","Serene Pavilion",NULL,NULL,"		Wadduwa	  ","0","0","1",,,"+94 38 2294 	",,"456 / 38 2685 009	http://www.serenepavilions.",NULL,NULL,"8","161","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"116","SUP00113","Club Villa by KK Collection ",,,"Bentota
","0","1","1",,," +94 34 2275 312, 4923 037",,"http://club-villa.com/",,,"8","21","0","0","0","0",NULL,NULL,NULL,"2025-11-11"
"117","SUP00117","Coco Bay Unawatuna",NULL,NULL,"Unawatuna
","0","1","1",,,"  +94 91 2250560 / 912250561",,"http://www.cocobayunawatuna.com/",NULL,NULL,"9","143","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"118","SUP00118","Coco Tangalla",,,"Tangalle
","0","1","1",,," +94 81 7201 115",,"http://www.cocotangalla.com/pg/",,,"8","139","0","0","0","0",NULL,NULL,NULL,NULL
"119","SUP00116","Cocoon Hills",,,"Nuwara Eliya
","0","1","1",,,"  +94 52 567 7000",,"http://cocoonhills.com/",,,"8","116","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"120","SUP00120","Cocoon Resort & Villas",,,"Induruwa
","0","1","1",,," +94 34 227 2070",,"http://www.cocoonresortandvillas.com/",,,"8","55","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"121","SUP00121","Cocoon Sea Resort",NULL,NULL,"Kosgoda
","0","0","1",,,"  +94 91 2264 067",,"http://www.cocoonsearesort.com/",NULL,NULL,"3","81","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"122","SUP00122","Colombo City Escapes Ceilao Villas",NULL,NULL,"Colombo
","0","0","1",,," +94 (0) 11 7235231 / 32",,"http://www.ceilaovillas.com/colombo/",NULL,NULL,"9","29","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"123","SUP00123","Colombo Court Yard",NULL,NULL,"Colombo
","0","1","1",,," +94 11 4645 333",,"http://www.colombocourtyard.com/",NULL,NULL,"8","29","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"124","SUP00124","Coral Rock By Amaya",NULL,NULL,"Hikkaduwa
","0","1","1",,," +94 912 277 021 ",,"http://www.amayacoralrock.com/",NULL,NULL,"3","52","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"125","SUP00125","Coral Sands Hotel",NULL,NULL,"Hikkaduwa
","0","1","1",,,"  +94 91 2277 436 / 513",,"http://www.coralsandshotel.com/",NULL,NULL,"3","52","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"126","SUP00126","Corbet's View",NULL,NULL,"Kandy
","0","0","1",,,"  +94 11 2560450 / +94 77 7411339 ",,"http://www.corbetsview.com/",NULL,NULL,"6","66","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"127","SUP00127","Country Comfort",NULL,NULL,,"0","0","1",,," + 94 57 2228 532, + 94 57 2228 500",,"http://www.hotelcountrycomfort.lk/",NULL,NULL,"3","39","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
